DATE	LEU0252917000A	LEU0254477200A	LEU0254478500A	LEU0254479600A	LEU0254510500A	LEU0254521700A	LEU0257877800A	LEU0264466800A
2000-01-01	28020	707	79	350	690	2655		20629
2001-01-01	27603	711	81	327	688	2699		20952
2002-01-01	27117	674	94	303	668	2702		21513
2003-01-01	27082	701	74	268	663	2611		21809
2004-01-01	27141	757	105	292	735	2587		22047
2005-01-01	27514	778	88	306	724	2758		22052
2006-01-01	28023	799	97	316	696	2821		21863
2007-01-01	27997	872	127	281	670	2772		22172
2008-01-01	27392	955	131	300	650	2729		22497
2009-01-01	25377	902	126	278	621	2460		24431
2010-01-01	25200	973	121	282	595	2386		24351
2011-01-01	25157	990	134	306	653	2439	2	24502
2012-01-01	25239	1005	120	280	691	2533	4	24614
2013-01-01	25043	1053	137	297	672	2587	6	24664
2014-01-01	25529	1141	143	286	722	2658	12	24707
2015-01-01	25221	1287	140	316	710	2687	8	24445
2016-01-01	25475	1351	124	335	688	2809	10	24832
2017-01-01	26011	1439	137	337	752	2828	7	24433
2018-01-01	26237	1611	145	313	709	2791	9	24346
2019-01-01	26756	1714	138	322	705	2723	16	23946
2020-01-01	24153		121	348	585	2592	18	21616
2021-01-01	24860		125	329	651	2680	20	21877
2022-01-01	26434		149	418	733	2657	25	22628
2023-01-01	26327		177	423	741	2709	14	23476
