DATE	CE16OV	LNS12000001	LNS12000002	LNS12000006	LNS12000060	LNS12000089	LNS12000315	LNS12024230	LNS12027659	LNS12027662	LNS12027714	LNS12032192	LNS12032197	LNS12032200	LNS12034560	LNS12500000	LNS12600000	LNU02000000	LNU02000001	LNU02000002	LNU02000006	LNU02000060	LNU02000089	LNU02000315	LNU02005977	LNU02024230	LNU02027659	LNU02027662	LNU02027714	LNU02032192	LNU02032201	LNU02032210	LNU02034560	LNU02048984	LNU02073395	LNU02073413	LNU02074597	LNU02076960	LNU02500000	LNU02600000
1948-01-01	58061	41736	16325		37073	13658		9741			10753	6080			8077			56339	40678	15661		36540	13420			9516			10405	5989			6846							
1948-02-01	58196	41835	16361		37155	13638		9813			10865	6056			7696			56440	40644	15796		36617	13436			9542			10581	6008			6587							
1948-03-01	57671	41431	16240		37085	13606		9771			10586	5968			7333			56601	40733	15868		36746	13473			9588			10505	5956			6677							
1948-04-01	58291	41585	16706		37316	13752		9871			10750	6213			7557			57471	41204	16267		37107	13671			9826			10845	6213			7222							
1948-05-01	57854	41510	16344		37126	13700		9832			10632	6131			7141			57763	41400	16363		37265	13757			9882			10783	6088			7556							
1948-06-01	58743	41809	16934		37559	13834		9974			10613	6075			7591			59724	42378	17346		37902	13975			10091			10897	6087			8773							
1948-07-01	58968	41969	16999		37944	13992		10005			10775	6203			7602			59955	42856	17099		37830	13957			9996			10990	6240			8509							
1948-08-01	58456	41825	16631		37535	13796		9979			10843	6186			7562			59677	42879	16798		37524	13832			10076			10961	6192			7933							
1948-09-01	58513	41652	16861		37819	13918		9932			10926	6184			7865			59337	42200	17137		38026	14032			10062			10926	6184			8352							
1948-10-01	58387	41823	16564		37670	13897		9979			10921	6095			7626			59290	42214	17076		38177	14080			10168			10952	6150			8311							
1948-11-01	58417	41735	16682		37647	13903		9930			10774	6007			7624			58991	41940	17051		38080	14023			10108			10707	6073			7650							
1948-12-01	58740	41861	16879		37724	13898		10028			10880	6111			7984			58554	41592	16962		37884	13964			10019			10737	6135			7127							
1949-01-01	58175	41513	16662		37514	13746		9949			10864	6104			7790			56486	40496	15990		36970	13504			9715			10510	6012			6581							
1949-02-01	58208	41393	16815		37473	13788		9912			10755	6079			8022			56320	40207	16113		36928	13584			9640			10477	6030			6749							
1949-03-01	58043	41182	16861		37461	13788		9835			10655	6035			8008			56809	40485	16324		37116	13652			9650			10574	6023			7152							
1949-04-01	57747	41162	16585		37347	13646		9857			10746	6086			7911			56929	40809	16120		37137	13558			9799			10849	6086			7554							
1949-05-01	57552	40866	16686		37379	13688		9776			10699	6004			8067			57669	40830	16839		37553	13754			9840			10855	5968			8581							
1949-06-01	57172	40685	16487		37316	13596		9793			10765	6121			7802			58231	41298	16933		37641	13738			9911			11059	6127			9058							
1949-07-01	57190	40484	16706		37297	13576		9777			10921	6129			8021			58171	41360	16811		37164	13541			9770			11140	6147			8987							
1949-08-01	57397	40640	16757		37399	13621		9816			10754	6189			7604			58504	41601	16903		37353	13646			9896			10854	6189			7956							
1949-09-01	57584	40859	16725		37420	13643		9943			10738	6224			7297			58324	41358	16966		37667	13749			10083			10739	6230			7758							
1949-10-01	57269	40412	16857		37079	13394		10030			10719	6285			6814			58050	40802	17248		37583	13570			10230			10754	6329			7384							
1949-11-01	58009	41006	17003		37525	13645		10087			10742	6287			7497			58616	41190	17426		37950	13758			10272			10704	6369			7565							
1949-12-01	57845	40983	16862		37375	13548		10089			10940	6467			7379			57712	40690	17022		37525	13608			10068			10802	6499			6588							
1950-01-01	57635	40857	16778		37352	13564		10044			10665	6223			7065			56189	39917	16272		36836	13339			9821			10355	6148			6058							
1950-02-01	57751	40922	16829		37399	13560		10077			10622	6207			7057			56197	39825	16372		36861	13360			9797			10367	6164			6058							
1950-03-01	57728	40942	16786		37529	13638		10072			10540	5990			7116			56733	40265	16468		37208	13511			9892			10452	5984			6472							
1950-04-01	58583	41228	17355		37997	13834		10077			10497	6024			7264			57812	40873	16939		37781	13751			10015			10568	6006			6952							
1950-05-01	58649	41511	17138		38145	13900		10212			10592	6123			7277			58719	41479	17240		38327	13970			10280			10725	6086			7696							
1950-06-01	59052	41621	17431		38601	14089		10141			10462	6086			7285			59997	42225	17772		38902	14226			10266			10754	6098			8434							
