DATE	LEU0252917000Q	LEU0264466800Q
2000-01-01	28054	21243
2000-04-01	28418	20543
2000-07-01	27570	19091
2000-10-01	28039	21638
2001-01-01	28016	21462
2001-04-01	28070	20913
2001-07-01	27168	19841
2001-10-01	27158	21591
2002-01-01	26986	21817
2002-04-01	27234	21356
2002-07-01	27072	20850
2002-10-01	27176	22028
2003-01-01	26930	22154
2003-04-01	27157	21721
2003-07-01	27060	20907
2003-10-01	27182	22455
2004-01-01	26999	22127
2004-04-01	27383	21817
2004-07-01	27171	21403
2004-10-01	27012	22841
2005-01-01	26777	22398
2005-04-01	27859	21891
2005-07-01	27640	21465
2005-10-01	27781	22456
2006-01-01	27725	22375
2006-04-01	28256	21862
2006-07-01	27792	20659
2006-10-01	28320	22556
2007-01-01	27686	22369
2007-04-01	28326	22470
2007-07-01	27621	21707
2007-10-01	28354	22140
2008-01-01	27866	22195
2008-04-01	27291	22534
2008-07-01	27759	22345
2008-10-01	26650	22913
2009-01-01	25722	24180
2009-04-01	25846	24705
2009-07-01	25492	24291
2009-10-01	24446	24548
2010-01-01	24601	25242
2010-04-01	25885	24348
2010-07-01	25392	23405
2010-10-01	24920	24409
2011-01-01	24941	24947
2011-04-01	25478	24307
2011-07-01	25298	24103
2011-10-01	24910	24652
2012-01-01	24865	25150
2012-04-01	25234	24616
2012-07-01	25628	24086
2012-10-01	25228	24604
2013-01-01	24768	24849
2013-04-01	24950	25015
2013-07-01	25392	24064
2013-10-01	25064	24726
2014-01-01	25220	25053
2014-04-01	25369	24946
2014-07-01	25599	24032
2014-10-01	25930	24799
2015-01-01	24918	24860
2015-04-01	25392	24825
2015-07-01	24846	23619
2015-10-01	25726	24478
2016-01-01	24807	25309
2016-04-01	25656	24808
2016-07-01	25518	23973
2016-10-01	25919	25237
2017-01-01	25084	25516
2017-04-01	26242	24651
2017-07-01	26342	23785
2017-10-01	26376	23779
2018-01-01	25525	24864
2018-04-01	26378	24428
2018-07-01	26300	23327
2018-10-01	26746	24763
2019-01-01	26344	24098
2019-04-01	26569	23854
2019-07-01	26784	23637
2019-10-01	27328	24194
2020-01-01	26062	24785
2020-04-01	21937	18187
2020-07-01	23817	20820
2020-10-01	24797	22671
2021-01-01	24209	21757
2021-04-01	24548	21705
2021-07-01	25365	21501
2021-10-01	25318	22544
2022-01-01	26830	23010
2022-04-01	26660	22545
2022-07-01	26462	21827
2022-10-01	25784	23131
2023-01-01	25847	24058
2023-04-01	26918	23096
2023-07-01	26372	22739
2023-10-01	26169	24010
2024-01-01	25657	24633
2024-04-01	26267	24586
2024-07-01	26349	23731
