Series ID,Year,Period,Label,Value
LNS14000000,1948,M01,1948 Jan,3.4
LNS14000000,1948,M02,1948 Feb,3.8
LNS14000000,1948,M03,1948 Mar,4.0
LNS14000000,1948,M04,1948 Apr,3.9
LNS14000000,1948,M05,1948 May,3.5
LNS14000000,1948,M06,1948 Jun,3.6
LNS14000000,1948,M07,1948 Jul,3.6
LNS14000000,1948,M08,1948 Aug,3.9
LNS14000000,1948,M09,1948 Sep,3.8
LNS14000000,1948,M10,1948 Oct,3.7
LNS14000000,1948,M11,1948 Nov,3.8
LNS14000000,1948,M12,1948 Dec,4.0
LNS14000000,1949,M01,1949 Jan,4.3
LNS14000000,1949,M02,1949 Feb,4.7
LNS14000000,1949,M03,1949 Mar,5.0
LNS14000000,1949,M04,1949 Apr,5.3
LNS14000000,1949,M05,1949 May,6.1
LNS14000000,1949,M06,1949 Jun,6.2
LNS14000000,1949,M07,1949 Jul,6.7
LNS14000000,1949,M08,1949 Aug,6.8
LNS14000000,1949,M09,1949 Sep,6.6
LNS14000000,1949,M10,1949 Oct,7.9
LNS14000000,1949,M11,1949 Nov,6.4
LNS14000000,1949,M12,1949 Dec,6.6
LNS14000000,1950,M01,1950 Jan,6.5
LNS14000000,1950,M02,1950 Feb,6.4
LNS14000000,1950,M03,1950 Mar,6.3
LNS14000000,1950,M04,1950 Apr,5.8
LNS14000000,1950,M05,1950 May,5.5
LNS14000000,1950,M06,1950 Jun,5.4
LNS14000000,1950,M07,1950 Jul,5.0
LNS14000000,1950,M08,1950 Aug,4.5
LNS14000000,1950,M09,1950 Sep,4.4
LNS14000000,1950,M10,1950 Oct,4.2
LNS14000000,1950,M11,1950 Nov,4.2
LNS14000000,1950,M12,1950 Dec,4.3
LNS14000000,1951,M01,1951 Jan,3.7
LNS14000000,1951,M02,1951 Feb,3.4
LNS14000000,1951,M03,1951 Mar,3.4
LNS14000000,1951,M04,1951 Apr,3.1
LNS14000000,1951,M05,1951 May,3.0
LNS14000000,1951,M06,1951 Jun,3.2
LNS14000000,1951,M07,1951 Jul,3.1
LNS14000000,1951,M08,1951 Aug,3.1
LNS14000000,1951,M09,1951 Sep,3.3
LNS14000000,1951,M10,1951 Oct,3.5
LNS14000000,1951,M11,1951 Nov,3.5
LNS14000000,1951,M12,1951 Dec,3.1
LNS14000000,1952,M01,1952 Jan,3.2
LNS14000000,1952,M02,1952 Feb,3.1
LNS14000000,1952,M03,1952 Mar,2.9
LNS14000000,1952,M04,1952 Apr,2.9
LNS14000000,1952,M05,1952 May,3.0
LNS14000000,1952,M06,1952 Jun,3.0
LNS14000000,1952,M07,1952 Jul,3.2
LNS14000000,1952,M08,1952 Aug,3.4
LNS14000000,1952,M09,1952 Sep,3.1
LNS14000000,1952,M10,1952 Oct,3.0
LNS14000000,1952,M11,1952 Nov,2.8
LNS14000000,1952,M12,1952 Dec,2.7
LNS14000000,1953,M01,1953 Jan,2.9
LNS14000000,1953,M02,1953 Feb,2.6
LNS14000000,1953,M03,1953 Mar,2.6
LNS14000000,1953,M04,1953 Apr,2.7
LNS14000000,1953,M05,1953 May,2.5
LNS14000000,1953,M06,1953 Jun,2.5
LNS14000000,1953,M07,1953 Jul,2.6
LNS14000000,1953,M08,1953 Aug,2.7
LNS14000000,1953,M09,1953 Sep,2.9
LNS14000000,1953,M10,1953 Oct,3.1
LNS14000000,1953,M11,1953 Nov,3.5
LNS14000000,1953,M12,1953 Dec,4.5
LNS14000000,1954,M01,1954 Jan,4.9
LNS14000000,1954,M02,1954 Feb,5.2
LNS14000000,1954,M03,1954 Mar,5.7
LNS14000000,1954,M04,1954 Apr,5.9
LNS14000000,1954,M05,1954 May,5.9
LNS14000000,1954,M06,1954 Jun,5.6
LNS14000000,1954,M07,1954 Jul,5.8
LNS14000000,1954,M08,1954 Aug,6.0
LNS14000000,1954,M09,1954 Sep,6.1
LNS14000000,1954,M10,1954 Oct,5.7
LNS14000000,1954,M11,1954 Nov,5.3
LNS14000000,1954,M12,1954 Dec,5.0
LNS14000000,1955,M01,1955 Jan,4.9
LNS14000000,1955,M02,1955 Feb,4.7
LNS14000000,1955,M03,1955 Mar,4.6
LNS14000000,1955,M04,1955 Apr,4.7
LNS14000000,1955,M05,1955 May,4.3
LNS14000000,1955,M06,1955 Jun,4.2
LNS14000000,1955,M07,1955 Jul,4.0
